id,name,category,description
1,Smartphone,Electronics,Latest model of smartphone.
2,Laptop,Electronics,High-performance laptop for gaming.
3,Fitness Tracker,Fitness,Track your health and fitness goals.
4,Smartwatch,Electronics,Wearable smartwatch for health monitoring.
5,Tablet,Electronics,Portable tablet for entertainment and productivity.
6,Bluetooth Headphones,Electronics,Wireless headphones with noise cancellation.
7,4K Television,Electronics,Ultra HD television for cinematic viewing experience.
8,Electric Kettle,Home Appliances,Quick-boil electric kettle with temperature settings.
9,Air Purifier,Home Appliances,HEPA air purifier for cleaner indoor air.
10,Coffee Maker,Home Appliances,Automatic coffee maker for the perfect brew.
60,Ski Equipment,Sporting Goods,Complete ski set for winter sports.
12,Advanced Machine,Furniture,Built for durability.
13,Durable Tool,Fitness,Top choice for enthusiasts.
14,Eco-Friendly Tool,Electronics,A blend of style and functionality.
15,Innovative Gadget,Furniture,A blend of style and functionality.
16,Compact Appliance,Furniture,An essential for your home.
17,Durable Accessory,Fitness,Perfect for daily use.
18,Innovative Appliance,Sporting Goods,Recommended by experts.
19,Smart Item,Home Appliances,Built for durability.
20,Innovative Equipment,Health & Personal Care,Top choice for enthusiasts.
21,Compact Appliance,Sporting Goods,A blend of style and functionality.
22,Reliable Machine,Fitness,Top choice for enthusiasts.
23,Smart Item,Health & Personal Care,Perfect for daily use.
24,Smart Gadget,Electronics,Perfect for daily use.
25,Innovative Gadget,Sporting Goods,Compact and versatile.
26,Stylish Appliance,Sporting Goods,Top choice for enthusiasts.
27,Advanced Machine,Sporting Goods,An essential for your home.
28,Innovative Tool,Sporting Goods,Efficient and reliable.
29,Smart Tool,Accessories,A blend of style and functionality.
30,Premium Device,Furniture,Designed for modern lifestyles.
31,Stylish Device,Furniture,Recommended by experts.
32,Premium Equipment,Kitchen,A blend of style and functionality.
33,Reliable Machine,Health & Personal Care,Designed for modern lifestyles.
34,Compact Appliance,Furniture,Compact and versatile.
35,Stylish Appliance,Fitness,An essential for your home.
36,Compact Accessory,Fitness,Efficient and reliable.
37,Stylish Appliance,Fitness,Top choice for enthusiasts.
38,High-Quality Gadget,Health & Personal Care,Compact and versatile.
39,Advanced Accessory,Fitness,Recommended by experts.
40,Compact Appliance,Health & Personal Care,Recommended by experts.
41,Advanced Gadget,Kitchen,Efficient and reliable.
42,Innovative Item,Accessories,Top choice for enthusiasts.
43,Durable Accessory,Health & Personal Care,Compact and versatile.
44,Eco-Friendly Machine,Accessories,A blend of style and functionality.
45,Stylish Item,Home Appliances,Built for durability.
46,Premium Equipment,Fitness,Compact and versatile.
47,Eco-Friendly Equipment,Furniture,A blend of style and functionality.
48,High-Quality Device,Health & Personal Care,Built for durability.
49,Innovative Accessory,Fitness,Top choice for enthusiasts.
50,Reliable Device,Fitness,Built for durability.
51,Advanced Item,Fitness,Compact and versatile.
52,Premium Gadget,Home Appliances,Top choice for enthusiasts.
53,Advanced Device,Furniture,An essential for your home.
54,Compact Machine,Furniture,Designed for modern lifestyles.
55,Smart Item,Fitness,Built for durability.
56,Compact Accessory,Home Appliances,Efficient and reliable.
57,Premium Item,Accessories,Designed for modern lifestyles.
58,Reliable Item,Electronics,Designed for modern lifestyles.
59,Compact Item,Electronics,Built for durability.
60,Compact Item,Home Appliances,Designed for modern lifestyles.
61,Compact Gadget,Sporting Goods,Compact and versatile.
62,Durable Tool,Fitness,Top choice for enthusiasts.
63,Advanced Tool,Accessories,Perfect for daily use.
64,Stylish Equipment,Health & Personal Care,Efficient and reliable.
65,High-Quality Accessory,Sporting Goods,Recommended by experts.
66,High-Quality Machine,Health & Personal Care,Compact and versatile.
67,Stylish Tool,Fitness,A blend of style and functionality.
68,Durable Device,Electronics,Built for durability.
69,Advanced Device,Sporting Goods,Top choice for enthusiasts.
70,Smart Gadget,Home Appliances,Designed for modern lifestyles.
71,Innovative Gadget,Furniture,Designed for modern lifestyles.
72,Smart Item,Kitchen,Efficient and reliable.
73,Stylish Appliance,Health & Personal Care,Built for durability.
74,Premium Gadget,Home Appliances,Designed for modern lifestyles.
75,Compact Accessory,Accessories,Recommended by experts.
76,Compact Appliance,Accessories,Built for durability.
77,Stylish Device,Sporting Goods,A blend of style and functionality.
78,Smart Device,Home Appliances,Efficient and reliable.
79,Compact Device,Furniture,Perfect for daily use.
80,Premium Item,Home Appliances,Top choice for enthusiasts.
81,Compact Machine,Accessories,Perfect for daily use.
82,Advanced Appliance,Fitness,Perfect for daily use.
83,Smart Equipment,Health & Personal Care,Designed for modern lifestyles.
84,Compact Accessory,Fitness,Efficient and reliable.
85,Compact Device,Fitness,Recommended by experts.
86,Stylish Item,Sporting Goods,Top choice for enthusiasts.
87,Durable Device,Furniture,Perfect for daily use.
88,Advanced Accessory,Kitchen,Recommended by experts.
89,Smart Machine,Electronics,Compact and versatile.
90,Smart Accessory,Kitchen,An essential for your home.
91,Durable Tool,Sporting Goods,Built for durability.
92,Compact Accessory,Home Appliances,Built for durability.
93,Durable Equipment,Fitness,Compact and versatile.
94,Stylish Gadget,Kitchen,A blend of style and functionality.
95,Smart Device,Fitness,Efficient and reliable.
96,Reliable Device,Fitness,A blend of style and functionality.
97,Advanced Accessory,Furniture,A blend of style and functionality.
98,Stylish Tool,Health & Personal Care,Efficient and reliable.
99,Premium Accessory,Electronics,Top choice for enthusiasts.
100,Eco-Friendly Gadget,Accessories,Built for durability.
101,Reliable Machine,Health & Personal Care,Perfect for daily use.
102,Smart Item,Furniture,Top choice for enthusiasts.
103,Premium Equipment,Furniture,Perfect for daily use.
104,Premium Gadget,Fitness,Recommended by experts.
105,Durable Tool,Health & Personal Care,Efficient and reliable.
106,Smart Machine,Fitness,A blend of style and functionality.
107,Compact Machine,Kitchen,Designed for modern lifestyles.
108,Eco-Friendly Gadget,Home Appliances,Compact and versatile.
109,Reliable Equipment,Fitness,Recommended by experts.
110,Premium Appliance,Home Appliances,Efficient and reliable.
111,High-Quality Accessory,Sporting Goods,Compact and versatile.
112,Premium Equipment,Fitness,Top choice for enthusiasts.
113,Premium Accessory,Kitchen,Built for durability.
114,Stylish Accessory,Electronics,Perfect for daily use.
115,High-Quality Device,Sporting Goods,Recommended by experts.
116,Stylish Item,Electronics,Efficient and reliable.
117,Compact Appliance,Home Appliances,Perfect for daily use.
118,Premium Device,Fitness,Recommended by experts.
119,Reliable Device,Health & Personal Care,Designed for modern lifestyles.
120,Reliable Appliance,Furniture,Compact and versatile.
121,Innovative Accessory,Furniture,Recommended by experts.
122,Premium Appliance,Sporting Goods,Designed for modern lifestyles.
123,Stylish Appliance,Fitness,A blend of style and functionality.
124,Stylish Machine,Health & Personal Care,Top choice for enthusiasts.
125,Stylish Tool,Home Appliances,Built for durability.
126,Stylish Equipment,Electronics,Perfect for daily use.
127,Compact Tool,Accessories,Compact and versatile.
128,Eco-Friendly Appliance,Kitchen,Efficient and reliable.
129,Smart Gadget,Home Appliances,Recommended by experts.
130,Smart Gadget,Electronics,Compact and versatile.
131,Reliable Equipment,Sporting Goods,Built for durability.
132,Reliable Machine,Electronics,Compact and versatile.
133,Innovative Device,Sporting Goods,Perfect for daily use.
134,Durable Tool,Home Appliances,A blend of style and functionality.
135,Advanced Machine,Kitchen,Recommended by experts.
136,Innovative Accessory,Electronics,Efficient and reliable.
137,Durable Accessory,Electronics,Designed for modern lifestyles.
138,Compact Tool,Furniture,Recommended by experts.
139,Innovative Appliance,Health & Personal Care,Top choice for enthusiasts.
140,Smart Gadget,Health & Personal Care,Efficient and reliable.
141,Reliable Appliance,Furniture,Recommended by experts.
142,Smart Appliance,Kitchen,Recommended by experts.
143,High-Quality Item,Accessories,Efficient and reliable.
144,Reliable Device,Home Appliances,Designed for modern lifestyles.
145,Premium Device,Home Appliances,Efficient and reliable.
146,Compact Appliance,Home Appliances,An essential for your home.
147,Reliable Tool,Electronics,A blend of style and functionality.
148,Compact Equipment,Electronics,Perfect for daily use.
149,Stylish Appliance,Furniture,Compact and versatile.
150,Reliable Item,Accessories,Compact and versatile.
151,Advanced Tool,Sporting Goods,Built for durability.
152,Advanced Appliance,Home Appliances,Perfect for daily use.
153,Reliable Machine,Accessories,Built for durability.
154,Innovative Gadget,Fitness,Built for durability.
155,Reliable Device,Fitness,Designed for modern lifestyles.
156,Advanced Device,Accessories,Top choice for enthusiasts.
157,High-Quality Device,Health & Personal Care,Compact and versatile.
158,Durable Equipment,Kitchen,Designed for modern lifestyles.
159,Innovative Gadget,Health & Personal Care,Efficient and reliable.
160,Compact Device,Fitness,Efficient and reliable.
161,Reliable Item,Accessories,Top choice for enthusiasts.
162,Durable Accessory,Home Appliances,Perfect for daily use.
163,Premium Machine,Furniture,A blend of style and functionality.
164,Compact Gadget,Accessories,Recommended by experts.
165,Durable Accessory,Health & Personal Care,Designed for modern lifestyles.
166,Durable Gadget,Health & Personal Care,Designed for modern lifestyles.
167,Durable Accessory,Accessories,Perfect for daily use.
168,Durable Gadget,Furniture,Efficient and reliable.
169,Premium Accessory,Electronics,Recommended by experts.
170,High-Quality Tool,Sporting Goods,Recommended by experts.
171,Eco-Friendly Equipment,Fitness,An essential for your home.
172,Reliable Machine,Electronics,Compact and versatile.
173,Advanced Device,Electronics,Perfect for daily use.
174,Advanced Gadget,Electronics,Efficient and reliable.
175,Innovative Appliance,Fitness,Recommended by experts.
176,High-Quality Tool,Fitness,An essential for your home.
177,Premium Item,Sporting Goods,Efficient and reliable.
178,Durable Gadget,Sporting Goods,Designed for modern lifestyles.
